Name,Address,City.State,ZIP,Number.of.Sites,Url,House.district,Senate.district
Ramblewood Mobile Home Park,"4091 State Road,","Hillsdale, MI",49242,30,https://www.mhvillage.com/parks/15666,35,16
New Village Estates,"430 South Byron,","Homer, MI",49245,130,https://www.mhvillage.com/parks/15733,45,17
Lighthouse On The Lake,"1001 24 Mile Road,","Homer, MI",49245,788,https://www.mhvillage.com/parks/38053,45,17
Leffingwell Estates,"595 South Meridian Road,","Hudson, MI",49247,70,https://www.mhvillage.com/parks/15401,34,16
Evergreen Estates,"532 West Chicago Road,","Jonesville, MI",49250,108,https://www.mhvillage.com/parks/15586,35,16
Leslie Estates,"714 Mill Street,","Leslie, MI",49251,78,https://www.mhvillage.com/parks/15231,73,21
Country Manor Mobile Home Park,"4400 Edgar Road,","Leslie, MI",49251,39,https://www.mhvillage.com/parks/15224,73,21
Saint Joe Mobile Park,"310 West Saint Joe Street,","Litchfield, MI",49252,12,https://www.mhvillage.com/parks/15664,35,17
Round Lake Estates,"787 Stoneham,","Manitou Beach, MI",49253,109,https://www.mhvillage.com/parks/589,34,16
Bean Creek Resort,"9575 Devils Lake Highway,","Manitou Beach, MI",49253,72,https://www.mhvillage.com/parks/15405,34,16
Water's Edge,"Devils Lake Highway,","Manitou Beach, MI",49253,60,https://www.mhvillage.com/parks/110884,34,16
Coachman's Cove,"6600 Portage Lake Road,","Munith, MI",49259,246,https://www.mhvillage.com/parks/399,48,14
Sherwood Forest,"7945 Dunn Road,","Munith, MI",49259,200,https://www.mhvillage.com/parks/40284,46,14
Vinings Trailer Park,"105 Portage Lake Road,","Munith, MI",49259,199,https://www.mhvillage.com/parks/32872,48,14
Arbor Village,"7940 South Circle Drive,","Parma, MI",49269,266,https://www.mhvillage.com/parks/15376,45,14
Pines Trailer Coach Park,"529 East Michigan Avenue,","Parma, MI",49269,NA,https://www.mhvillage.com/parks/15434,45,14
Splash Creek Mobile Park,"2362 North Parma Road,","Parma, MI",49269,NA,https://www.mhvillage.com/parks/54405,45,17
West Village Mobile Home Park,"8800 Market Street,","Pittsford, MI",49271,16,https://www.mhvillage.com/parks/37796,35,16
Pleasant Lake Mobile Home Court,"11711 Bunkerhill Road,","Pleasant Lake, MI",49272,57,https://www.mhvillage.com/parks/15535,45,14
Hillside Acres MHC,"5200 Bankers Road,","Reading, MI",49274,42,https://www.mhvillage.com/parks/494,35,17
Somerset Centre Estates,"12851 East Chicago Road,","Somerset Center, MI",49282,310,https://www.mhvillage.com/parks/496,35,16
Miller Trailer Village,"3500 South Dearing Road,","Spring Arbor, MI",49283,55,https://www.mhvillage.com/parks/15536,45,14
Spring Harbor,"271 Green St.,","Springport, MI",49284,81,https://www.mhvillage.com/parks/5736,45,17
Newburg Meadows,"9115 North Union Street,","Tecumseh, MI",49286,135,https://www.mhvillage.com/parks/369,34,15
Weller's Trailer Park,"8980 66th Street,","Alto, MI",49302,NA,https://www.mhvillage.com/parks/15264,79,18
Alto Meadows,"6435 Kodiak Drive SE,","Alto, MI",49302,NA,https://www.mhvillage.com/parks/38145,78,18
Lackie's Birch Haven Subdivision,"Airstrip Road,","Barryton, MI",49305,NA,https://www.mhvillage.com/parks/16042,100,34
Leisure Village,"5305 Circle Drive,","Belmont, MI",49306,237,https://www.mhvillage.com/parks/15256,NA,NA
Northern Estates,"1569 Beaver Creek Dr. NE,","Belmont, MI",49306,291,https://www.mhvillage.com/parks/15034,90,30
Hidden Glades,"1340 Post Drive,","Belmont, MI",49306,260,https://www.mhvillage.com/parks/15883,90,30
Trail Tree Village Expansion,"175 North Michigan Avenue,","Coldwater, MI",49306,NA,https://www.mhvillage.com/parks/129851,35,17
Big Rapids Mobile Home Court,"606 Bjornson Street,","Big Rapids, MI",49307,135,https://www.mhvillage.com/parks/15579,100,34
Country Manor Estates,"18500 Northland Drive,","Big Rapids, MI",49307,78,https://www.mhvillage.com/parks/15999,100,34
Haven View Mobile Home Court,"18505 Northland Drive,","Big Rapids, MI",49307,80,https://www.mhvillage.com/parks/15596,100,34
College Park Mobile Village,"1111 Catherine Street,","Big Rapids, MI",49307,100,https://www.mhvillage.com/parks/15600,100,34
Circle Drive Mobile Home Park,"12380 185th Avenue,","Big Rapids, MI",49307,50,https://www.mhvillage.com/parks/15597,100,34
Forest Hills Park,"14400 Northland Drive,","Big Rapids, MI",49307,NA,https://www.mhvillage.com/parks/15598,100,34
Byron Center,"2680 84th Street,","Byron Center, MI",49315,143,https://www.mhvillage.com/parks/33822,79,20
Country Meadows Village,"5401 76th SE,","Caledonia, MI",49316,307,https://www.mhvillage.com/parks/15960,79,18
Dutton Mill Village,"6720 West Mill Run SE,","Caledonia, MI",49316,307,https://www.mhvillage.com/parks/15036,79,20
Cedar Springs Mobile Estates,"400 Susan,","Cedar Springs, MI",49319,216,https://www.mhvillage.com/parks/15245,91,33
Cedarfield 55+ Community,"3592 17 Mile Road NE,","Cedar Springs, MI",49319,186,https://www.mhvillage.com/parks/15973,91,33
Northland Acres MHC,"13323 Northland Drive,","Cedar Springs, MI",49319,70,https://www.mhvillage.com/parks/524,91,33
White Creek Country Estates,"15851 White Creek Avenue,","Cedar Springs, MI",49319,177,https://www.mhvillage.com/parks/15095,90,33
Pavilion,"5480 Alpine Avenue NW,","Comstock Park, MI",49321,80,https://www.mhvillage.com/parks/15259,90,30
Alpine Mobile Village,"4840 Alpine Avenue,","Comstock Park, MI",49321,118,https://www.mhvillage.com/parks/15242,90,30
Brookhaven Mobile Home Park,"4747 West River Drive,","Comstock Park, MI",49321,NA,https://www.mhvillage.com/parks/15243,81,30
Maple Grove Estates,"1696 143rd Ave.,","Dorr, MI",49323,46,https://www.mhvillage.com/parks/15124,43,20
Sapphire Estates,"2375 - 138th Ave,","Dorr, MI",49323,60,https://www.mhvillage.com/parks/33823,43,20
Lincoln Pines Resort Inc,"13033 19 Mile Road,","Gowen, MI",49326,156,https://www.mhvillage.com/parks/287,91,33
